Empresa;C�digo;�ndices dos quais participa
FII CYRELA;CYCR11;IFIX
FII DEVANT;DEVA11;IFIX
FII FATOR VE;VRTA11;IFIL,IFIX
FII G TOWERS;GTWR11;IFIX
FII GAZIT;GZIT11;IFIX
FII GGRCOVEP;GGRC11;IFIL,IFIX
FII GUARDIAN;GARE11;IFIL,IFIX
FII HABIT II;HABT11;IFIL,IFIX
FII HECTARE;HCTR11;IFIL,IFIX
FII HEDGEBS;HGBS11;IFIL,IFIX
FII HGCR PAX;HGCR11;IFIL,IFIX
FII HGFF PAX;HGFF11;IFIX
FII HGLG PAX;HGLG11;IFIL,IFIX
FII HGPO PAX;HGPO11;IFIX
FII HGRE PAX;HGRE11;IFIL,IFIX
FII HGRU PAX;HGRU11;IFIL,IFIX
FII HOTEL MX;HTMX11;IFIL,IFIX
FII HSI CRI;HSAF11;IFIX
FII HSI LOG;HSLG11;IFIX
FII HSI MALL;HSML11;IFIL,IFIX
FII HTOPFOF3;HFOF11;IFIL,IFIX
FII IRIDIUM;IRDM11;IFIL,IFIX
FII ITRI;ITRI11;IFIL,IFIX
FII JS A FIN;JSAF11;IFIL,IFIX
FII JS REAL;JSRE11;IFIL,IFIX
FII KILIMA;KISU11;IFIX
FII KINEA;KNRI11;IFIL,IFIX
FII KINEA CR;KCRE11;IFIX
FII KINEA HF;KNHF11;IFIL,IFIX
FII KINEA HY;KNHY11;IFIL,IFIX
FII KINEA IP;KNIP11;IFIL,IFIX
FII KINEA RI;KNCR11;IFIL,IFIX
FII KINEA SC;KNSC11;IFIL,IFIX
FII KINEA UN;KNUQ11;IFIL,IFIX
FII KINEAFOF;KFOF11;IFIL,IFIX
FII KIVO;KIVO11;IFIX
FII KORE;KORE11;IFIL,IFIX
FII LIFE;LIFE11;IFIX
FII LVBI VBI;LVBI11;IFIL,IFIX
FII MALLS BP;MALL11;IFIL,IFIX
FII MANATI;MANA11;IFIL,IFIX
FII MAUA;MCCI11;IFIL,IFIX
FII MAUA RE;MCRE11;IFIL,IFIX
FII MAXI REN;MXRF11;IFIL,IFIX
FII MERITO I;MFII11;IFIX
FII OURI JPP;OUJP11;IFIX
FII PATL VBI;PATL11;IFIX
FII PMIS;PMIS11;IFIX
FII POLO CRI;PORD11;IFIX
FII PVBI VBI;PVBI11;IFIL,IFIX
FII RBR LOG;RBRL11;IFIX
FII RBR MULT;RBRX11;IFIL,IFIX
FII RBR PCRI;RBRY11;IFIL,IFIX
FII RBR PROP;RBRP11;IFIL,IFIX
FII RBRALPHA;RBRF11;IFIL,IFIX
FII RBRHGRAD;RBRR11;IFIL,IFIX
FII REC RECE;RECR11;IFIL,IFIX
FII RIOB FF;RBFF11;IFIX
FII RIOB RC;RCRB11;IFIX
FII RIOB VA;RBVA11;IFIL,IFIX
FII RIZA AKN;RZAK11;IFIL,IFIX
FII RIZA TX;RZTR11;IFIL,IFIX
FII RVBI VBI;RVBI11;IFIL,IFIX
FII SANT REN;SARE11;IFIX
FII SDI LOG;TRBL11;IFIX
FII SPX SYN;SPXS11;IFIX
FII SUNO CRI;SNCI11;IFIX
FII SUNO EL;SNEL11;IFIX
FII SUNOFOFI;SNFF11;IFIX
FII TEL PROP;TEPP11;IFIX
FII TG ATIVO;TGAR11;IFIL,IFIX
FII TIVIO RI;TVRI11;IFIL,IFIX
FII TOPP;TOPP11;IFIX
FII TRX REAL;TRXF11;IFIL,IFIX
FII URCA REN;URPR11;IFIL,IFIX
FII VALOR HE;VGHF11;IFIL,IFIX
FII VALORAIP;VGIP11;IFIL,IFIX
FII VALREIII;VGIR11;IFIL,IFIX
FII VECTIS;VCJR11;IFIL,IFIX
FII VGRI;VGRI11;IFIX
FII VINCI IU;VIUR11;IFIX
FII VINCI LG;VILG11;IFIL,IFIX
FII VINCI OF;VINO11;IFIL,IFIX
FII VINCI SC;VISC11;IFIL,IFIX
FII VRTM;VRTM11;IFIX
FII WHG REAL;WHGR11;IFIX
FII XP CRED;XPCI11;IFIL,IFIX
FII XP LOG;XPLG11;IFIL,IFIX
FII XP MALLS;XPML11;IFIL,IFIX
FII XP SELEC;XPSF11;IFIX
FIRST SOLAR;FSLR34;BDRX
FLEURY;FLRY3;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,ICO2,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
FORD MOTORS;FDMO34;BDRX
FRANCONEVADA;F2NV34;BDRX
FRAS-LE;FRAS3;IBRA,IGCT,IGCX,SMLL
